id,fact,type,first_name,last_name,upvotes
230,Cats are among only a few animals that walk by moving their two right legs one after another and then their two left legs. rather than moving diagonal limbs simultaneously. Giraffes and camels also have this quality.,cat,Alex,Wohlbruck,0
231,Legend holds that a goddess rewarded a temple cat's piety by turning the cat's eyes blue and his coat golden. thus creating the first Birman cat.,cat,Alex,Wohlbruck,0
232,While some cats love being brushed. others don't take to it naturally. Try to groom your cat in the same spot at the same time of day to create a sense of routine.,cat,Alex,Wohlbruck,0
233,Kittens typically begin to engage in playful behavior at around four weeks of age.,cat,Alex,Wohlbruck,0
234,It's important for cats to have regular ear exams—this is something you can do at home! Gently fold back the ears and look into the ear canal. The inner ear should be pale pink with little to no earwax. If you notice redness. swelling. discharge. or a lot of earwax. it's time to see a veterinarian.,cat,Alex,Wohlbruck,0
235,Cats think humans have night vision too. so when we step on their tail in the middle of the night. they think it's on purpose.,cat,Nathaniel J,McDermott,0
236,Contrary to popular belief. some cats actually don't mind water. The hairless Sphynx cat enjoys it. especially if it is warm.,cat,L'hibou,Ambigu,0
237,Cca.,cat,Ivan,Mercedes,0
238,My Professor's mother in law accidentally started the laundry machine while her cat was inside. The Cat survived the trauma.,cat,Ussama Bin,Naveed,0
239,Cats are capable of walking very precisely because. like all felines. they directly register; that is. they place each hind paw (almost) directly in the print of the corresponding fore paw. minimizing noise and visible tracks. This also provides sure footing for their hind paws when they navigate rough terrain.,cat,Alex,Wohlbruck,0
240,Ddd.,cat,Daniel,Hakak,0
